,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,MONEY,Year
33,Carl Pettersson,95,70.289,291.8,62.29,65.77,.485,.284,.770,"1,284",5,,"$1,540,723",2011
34,Kyle Stanley,98,70.317,304.6,59.52,68.21,-.506,1.171,.665,"1,523",4,,"$1,523,657",2011
35,Justin Rose,79,70.332,290.6,63.27,69.48,.047,.937,.984,"2,253",5,1,"$3,401,420",2011
36,Brandt Jobe,100,70.334,298.5,65.87,69.16,-.015,.611,.596,"1,238",4,,"$1,629,764",2011
37,Martin Laird,77,70.341,303.0,58.51,66.59,.161,.835,.996,"1,589",6,1,"$2,676,509",2011
38,Ryan Moore,79,70.345,290.1,63.10,62.89,.550,.278,.827,"1,465",4,,"$1,942,906",2011
39,Jim Furyk,87,70.370,281.4,68.00,67.57,-.160,.816,.655,"1,468",4,,"$1,529,690",2011
40,Chris Kirk,87,70.414,295.7,56.47,66.67,-.202,.634,.432,"1,332",4,1,"$1,877,627",2011
41,John Merrick,71,70.423,297.2,67.31,68.69,.058,.372,.430,535,1,,"$704,789",2011
42,Jimmy Walker,79,70.424,298.8,53.13,63.92,.222,.155,.376,"1,252",4,,"$1,336,556",2011
43,Brendon de Jonge,105,70.429,287.8,64.04,66.45,.273,.303,.576,"1,024",3,,"$1,241,326",2011
44,Kevin Na,84,70.432,279.8,57.66,61.04,.650,.121,.770,778,6,1,"$2,336,965",2011
45,Trevor Immelman,84,70.433,288.5,61.74,68.12,.297,.036,.333,638,2,,"$1,165,604",2011
46,Bryce Molder,82,70.433,282.0,66.46,65.00,.770,-.116,.653,523,6,1,"$1,957,944",2011
47,Ben Crane,76,70.434,284.9,67.06,66.36,.134,.356,.490,561,4,1,"$1,679,595",2011
48,Briny Baird,60,70.435,289.1,68.74,69.14,.078,.465,.543,258,3,,"$942,286",2011
49,Lucas Glover,74,70.445,294.6,61.05,65.92,.236,.206,.442,"1,305",1,1,"$1,823,327",2011
50,Dustin Johnson,72,70.457,314.2,57.17,68.39,-.549,1.125,.576,"2,488",6,1,"$4,309,961",2011
51,Rory Sabbatini,85,70.460,292.5,56.74,65.84,-.403,1.122,.719,"1,493",3,1,"$2,420,655",2011
52,Brian Davis,105,70.469,283.3,70.33,67.35,-.035,.640,.605,"1,438",2,,"$1,308,009",2011
53,Andres Romero,77,70.495,294.7,57.80,63.41,.400,.074,.474,939,4,,"$1,313,133",2011
54,J.B. Holmes,57,70.523,318.4,52.09,66.46,-.064,.912,.847,640,4,,"$1,398,583",2011
55,Mark Wilson,89,70.526,284.8,67.63,66.03,.233,.245,.477,620,4,2,"$3,158,477",2011
56,Kevin Streelman,90,70.540,289.2,63.72,65.62,.356,.578,.934,770,4,,"$1,300,006",2011
57,Davis Love III,70,70.548,298.5,59.45,68.25,-.318,.708,.389,565,2,,"$1,056,300",2011
58,Ricky Barnes,78,70.572,293.3,58.55,66.52,-.480,.704,.224,556,2,,"$951,587",2011
