,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,SCRAMBLING_%,GIR_%,SG_TEE,SG_APPROACH,SG_SCRAMBLE,SG_PUTTING,SG_TOTAL,POINTS,TOP 10,1ST,MONEY,Year
151,Billy Horschel,75,71.512,291.0,66.22,54.03,67.07,0.31,-0.29,-0.18899999999999997,-0.024,-0.192,197,2,0,533024,2011
152,Matt Jones,71,71.517,293.9,55.52,56.96,62.36,-0.135,-0.506,0.262,0.002,-0.377,328,1,0,602392,2011
153,Lee Janzen,62,71.525,290.1,63.04,54.84,63.1,-0.401,-0.264,0.052000000000000005,0.17,-0.44299999999999995,168,0,0,216993,2011
154,Marc Turnesa,54,71.533,282.8,62.93,52.8,65.6,-0.077,-0.092,-0.41600000000000004,0.21899999999999997,-0.365,175,1,0,299405,2011
155,Stuart Appleby,65,71.554,287.5,58.2,55.9,61.62,-0.461,-0.152,0.134,-0.184,-0.6629999999999999,387,1,0,657150,2011
156,Scott Gutschewski,67,71.582,298.0,58.06,56.68,62.62,-0.07200000000000001,-0.013000000000000001,0.055999999999999994,-0.638,-0.667,125,0,0,229758,2011
157,Steve Elkington,50,71.598,285.4,69.58,60.26,66.44,-0.004,-0.6509999999999999,0.003,0.312,-0.34,107,1,0,176225,2011
158,Bobby Gates,82,71.616,297.4,60.1,51.49,64.71,0.133,-0.183,-0.396,-0.452,-0.898,256,3,0,666735,2011
159,Jarrod Lyle,83,71.617,286.1,58.86,57.3,61.95,-0.175,-0.505,0.024,-0.163,-0.82,217,1,0,317459,2011
160,Andres Gonzales,60,71.634,293.1,61.49,52.85,64.42,-0.473,-0.184,-0.13699999999999998,0.14300000000000002,-0.652,93,0,0,186847,2011
161,Matt McQuillan,59,71.635,285.4,64.45,57.57,62.63,-0.363,-0.188,0.031,0.436,-0.084,280,3,0,582933,2011
162,FabiÃ¡n GÃ³mez,84,71.639,288.4,63.08,52.1,65.2,-0.18600000000000003,-0.146,-0.152,-0.11699999999999999,-0.602,208,1,0,381730,2011
163,Cameron Beckman,71,71.642,284.3,61.05,56.76,63.18,-0.423,-0.061,-0.057,-0.11199999999999999,-0.653,324,0,0,455085,2011
164,Shaun Micheel,77,71.675,286.1,55.71,58.64,63.01,-0.64,-0.319,0.245,0.138,-0.575,160,0,0,206450,2011
165,Matt Bettencourt,84,71.689,288.3,56.51,54.97,62.1,-0.267,-0.309,-0.26899999999999996,0.079,-0.7659999999999999,461,2,0,692545,2011
166,Bio Kim,71,71.696,296.1,52.87,54.85,59.49,-0.563,-0.838,0.515,0.033,-0.8540000000000001,179,0,0,345588,2011
167,Joseph Bramlett,73,71.714,295.6,59.54,56.51,65.21,0.03,0.068,0.013000000000000001,-0.581,-0.47,110,0,0,178728,2011
168,Paul Goydos,81,71.722,274.8,69.0,55.79,64.47,-0.276,0.452,-0.142,-0.628,-0.594,474,4,0,1385328,2011
169,Colt Knost,80,71.747,279.0,66.02,55.34,62.01,-0.22899999999999998,-0.672,-0.037000000000000005,0.271,-0.667,227,0,0,296817,2011
170,D.J. Brigman,67,71.803,290.2,55.27,53.49,60.92,-0.606,-0.11900000000000001,-0.083,-0.245,-1.053,140,0,0,191491,2011
171,Nate Smith,66,71.833,281.2,60.98,58.07,61.57,-0.882,-0.547,0.136,0.41100000000000003,-0.883,110,0,0,154814,2011
172,Kevin Kisner,70,71.858,284.3,60.96,54.85,60.59,-0.247,-0.7070000000000001,-0.09,0.139,-0.9059999999999999,116,0,0,270170,2011
173,David Duval,67,71.873,296.3,51.88,52.66,64.1,-0.243,0.065,-0.259,-0.364,-0.8009999999999999,191,1,0,400654,2011
174,Zack Miller,86,71.89,299.5,57.06,54.26,61.79,0.057,-0.612,-0.012,-0.483,-1.051,290,1,0,427341,2011
175,Richard Johnson,64,71.902,276.6,63.46,54.19,63.41,-0.6890000000000001,-0.335,-0.13699999999999998,0.11699999999999999,-1.044,144,0,0,212106,2011
176,Alex Prugh,82,71.904,298.6,57.35,47.91,65.95,0.204,-0.109,-0.47,-0.5820000000000001,-0.958,209,0,0,292070,2011
